YEAR,QUARTER,MONTH,PEAK DEMAND,DEMAND MET,REGION,STATE,DEMAND NOT MET,DEMAND
2011,Q1,1,200,200,NORTH,CHANDIGARH,0,200
2011,Q1,1,4114,4111,NORTH,DELHI,-3,4114
2011,Q1,1,5403,5000,NORTH,HARYANA,-403,5403
2011,Q1,1,1278,1043,NORTH,HIMACHAL PRADESH,-235,1278
2011,Q1,1,2369,1571,NORTH,JAMMU & KASHMIR,-798,2369
2011,Q1,1,5865,5090,NORTH,PUNJAB,-775,5865
2011,Q1,1,7582,7408,NORTH,RAJASTAN,-174,7582
2011,Q1,1,11082,9131,NORTH,UTTAR PRADESH,-1951,11082
2011,Q1,1,1520,1520,NORTH,UTTARAKHAND,0,1520
2011,Q1,1,2566,2522,WEST,CHATTISGARH,-44,2566
2011,Q1,1,10017,9120,WEST,GUJARAT,-897,10017
2011,Q1,1,8864,6973,WEST,MADYA PRADESH,-1891,8864
2011,Q1,1,19052,15065,WEST,MAHARASTRA,-3987,19052
2011,Q1,1,269,244,WEST,DAMAN AND DIU,-25,269
2011,Q1,1,526,526,WEST,DADRA AND NAGAR HAVELI,0,526
2011,Q1,1,473,450,WEST,GOA,-23,473
2011,Q1,1,11586,10848,SOUTH,ANDRA PRADESH,-738,11586
2011,Q1,1,8053,7815,SOUTH, KARNATAKA,-238,8053
2011,Q1,1,3295,2904,SOUTH,KERALA,-391,3295
2011,Q1,1,10681,10015,SOUTH,TAMILNADU,-666,10681
2011,Q1,1,278,276,SOUTH,PUDUCHERRY,-2,278
2011,Q1,1,6,6,SOUTH,LAKSHADWEEP,0,6
2011,Q1,1,1726,1402,EAST,BIHAR,-324,1726
2011,Q1,1,1899,1899,EAST,DVC,0,1899
2011,Q1,1,986,986,EAST,JARKHAND,0,986
2011,Q1,1,3213,3199,EAST,ORISSA,-14,3213
2011,Q1,1,5099,5099,EAST,WEST BENGAL,0,5099
2011,Q1,1,100,99,EAST,SIKKAM,-1,100
2011,Q1,1,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2011,Q1,1,85,81,NE,ARUNACHAL PRADESH,-4,85
2011,Q1,1,890,857,NE,ASSAM,-33,890
2011,Q1,1,118,115,NE,MANIPUR,-3,118
2011,Q1,1,255,244,NE,MEGHALAYA,-11,255
2011,Q1,1,76,65,NE,MIZORAM,-11,76
2011,Q1,1,110,104,NE,NAGALAND,-6,110
2011,Q1,1,170,165,NE,TRIPURA,-5,170
2011,Q1,2,205,205,NORTH,CHANDIGARH,0,205
2011,Q1,2,3305,3305,NORTH,DELHI,0,3305
2011,Q1,2,5094,4587,NORTH,HARYANA,-507,5094
2011,Q1,2,1253,1112,NORTH,HIMACHAL PRADESH,-141,1253
2011,Q1,2,2369,1504,NORTH,JAMMU & KASHMIR,-865,2369
2011,Q1,2,6637,4903,NORTH,PUNJAB,-1734,6637
2011,Q1,2,7729,7442,NORTH,RAJASTAN,-287,7729
2011,Q1,2,11003,8951,NORTH,UTTAR PRADESH,-2052,11003
2011,Q1,2,1474,1204,NORTH,UTTARAKHAND,-270,1474
2011,Q1,2,2719,2535,WEST,CHATTISGARH,-184,2719
2011,Q1,2,9671,9028,WEST,GUJARAT,-643,9671
2011,Q1,2,8728,8068,WEST,MADYA PRADESH,-660,8728
2011,Q1,2,19530,15479,WEST,MAHARASTRA,-4051,19530
2011,Q1,2,272,247,WEST,DAMAN AND DIU,-25,272
2011,Q1,2,572,547,WEST,DADRA AND NAGAR HAVELI,-25,572
2011,Q1,2,479,460,WEST,GOA,-90,479
2011,Q1,2,11377,11232,SOUTH,ANDRA PRADESH,-145,11377
2011,Q1,2,8190,7618,SOUTH, KARNATAKA,-572,8190
2011,Q1,2,2996,2946,SOUTH,KERALA,-50,2996
2011,Q1,2,11301,10436,SOUTH,TAMILNADU,-865,11301
2011,Q1,2,272,270,SOUTH,PUDUCHERRY,-2,272
2011,Q1,2,7,7,SOUTH,LAKSHADWEEP,0,7
2011,Q1,2,2140,1307,EAST,BIHAR,-833,2140
2011,Q1,2,1836,1836,EAST,DVC,0,1836
2011,Q1,2,897,897,EAST,JARKHAND,0,897
2011,Q1,2,3327,3315,EAST,ORISSA,-12,3327
2011,Q1,2,5855,5831,EAST,WEST BENGAL,-24,5855
2011,Q1,2,106,104,EAST,SIKKAM,-2,106
2011,Q1,2,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2011,Q1,2,83,81,NE,ARUNACHAL PRADESH,-2,83
2011,Q1,2,910,880,NE,ASSAM,-30,910
2011,Q1,2,109,104,NE,MANIPUR,-5,109
2011,Q1,2,294,284,NE,MEGHALAYA,-10,294
2011,Q1,2,75,70,NE,MIZORAM,-5,75
2011,Q1,2,105,93,NE,NAGALAND,-12,105
2011,Q1,2,168,164,NE,TRIPURA,-4,168
2011,Q1,3,196,196,NORTH,CHANDIGARH,0,196
2011,Q1,3,3418,3412,NORTH,DELHI,-6,3418
2011,Q1,3,5157,4812,NORTH,HARYANA,-355,5157
2011,Q1,3,1178,1178,NORTH,HIMACHAL PRADESH,0,1178
2011,Q1,3,2369,1494,NORTH,JAMMU & KASHMIR,-875,2369
2011,Q1,3,6282,5723,NORTH,PUNJAB,-559,6282
2011,Q1,3,7549,1784,NORTH,RAJASTAN,-365,7549
2011,Q1,3,10295,9499,NORTH,UTTAR PRADESH,-796,10295
2011,Q1,3,1379,1239,NORTH,UTTARAKHAND,-140,1379
2011,Q1,3,3148,2838,WEST,CHATTISGARH,-310,3148
2011,Q1,3,9745,9509,WEST,GUJARAT,-236,9745
2011,Q1,3,8398,8093,WEST,MADYA PRADESH,-305,8398
2011,Q1,3,19607,16192,WEST,MAHARASTRA,-3415,19607
2011,Q1,3,277,252,WEST,DAMAN AND DIU,-25,277
2011,Q1,3,538,513,WEST,DADRA AND NAGAR HAVELI,-25,538
2011,Q1,3,489,467,WEST,GOA,-22,489
2011,Q1,3,12630,11829,SOUTH,ANDRA PRADESH,-801,12630
2011,Q1,3,8430,7743,SOUTH, KARNATAKA,-687,8430
2011,Q1,3,3156,3103,SOUTH,KERALA,-53,3156
2011,Q1,3,11353,10422,SOUTH,TAMILNADU,-931,11353
2011,Q1,3,308,302,SOUTH,PUDUCHERRY,-6,308
2011,Q1,3,7,7,SOUTH,LAKSHADWEEP,0,7
2011,Q1,3,2123,1402,EAST,BIHAR,-721,2123
2011,Q1,3,1926,1916,EAST,DVC,-10,1926
2011,Q1,3,1108,1052,EAST,JARKHAND,-56,1108
2011,Q1,3,3872,3792,EAST,ORISSA,-80,3872
2011,Q1,3,5990,5973,EAST,WEST BENGAL,-17,5990
2011,Q1,3,92,91,EAST,SIKKAM,-1,92
2011,Q1,3,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2011,Q1,3,91,77,NE,ARUNACHAL PRADESH,-14,91
2011,Q1,3,936,912,NE,ASSAM,-24,936
2011,Q1,3,100,95,NE,MANIPUR,-5,100
2011,Q1,3,264,241,NE,MEGHALAYA,-23,264
2011,Q1,3,74,66,NE,MIZORAM,-8,74
2011,Q1,3,100,97,NE,NAGALAND,-3,100
2011,Q1,3,194,192,NE,TRIPURA,-2,194
2011,Q2,4,235,235,NORTH,CHANDIGARH,0,235
2011,Q2,4,4070,4066,NORTH,DELHI,-4,4070
2011,Q2,4,5069,4532,NORTH,HARYANA,-537,5069
2011,Q2,4,1141,1141,NORTH,HIMACHAL PRADESH,0,1141
2011,Q2,4,2250,1439,NORTH,JAMMU & KASHMIR,-811,2250
2011,Q2,4,5925,5925,NORTH,PUNJAB,0,5925
2011,Q2,4,6452,6423,NORTH,RAJASTAN,-29,6452
2011,Q2,4,11211,10081,NORTH,UTTAR PRADESH,-1130,11211
2011,Q2,4,1446,1409,NORTH,UTTARAKHAND,-37,1446
2011,Q2,4,3239,2745,WEST,CHATTISGARH,-494,3239
2011,Q2,4,10049,9836,WEST,GUJARAT,-213,10049
2011,Q2,4,7442,7290,WEST,MADYA PRADESH,-152,7442
2011,Q2,4,19592,16340,WEST,MAHARASTRA,-3250,19592
2011,Q2,4,273,248,WEST,DAMAN AND DIU,-25,273
2011,Q2,4,511,511,WEST,DADRA AND NAGAR HAVELI,0,511
2011,Q2,4,509,464,WEST,GOA,-45,509
2011,Q2,4,12636,11579,SOUTH,ANDRA PRADESH,-1057,12636
2011,Q2,4,8479,7498,SOUTH, KARNATAKA,-981,8479
2011,Q2,4,3176,3017,SOUTH,KERALA,-159,3176
2011,Q2,4,11911,10566,SOUTH,TAMILNADU,-1345,11911
2011,Q2,4,318,308,SOUTH,PUDUCHERRY,-10,318
2011,Q2,4,7,7,SOUTH,LAKSHADWEEP,0,7
2011,Q2,4,1739,1314,EAST,BIHAR,-425,1739
2011,Q2,4,1852,1845,EAST,DVC,-7,1852
2011,Q2,4,844,833,EAST,JARKHAND,-11,844
2011,Q2,4,3326,3310,EAST,ORISSA,-16,3326
2011,Q2,4,6409,6035,EAST,WEST BENGAL,-374,6409
2011,Q2,4,69,68,EAST,SIKKAM,-1,69
2011,Q2,4,40,32,EAST,ANDAMAN-NICOBAR,-8,40
2011,Q2,4,90,77,NE,ARUNACHAL PRADESH,-13,90
2011,Q2,4,969,949,NE,ASSAM,-20,969
2011,Q2,4,102,97,NE,MANIPUR,-5,102
2011,Q2,4,250,209,NE,MEGHALAYA,-41,250
2011,Q2,4,77,65,NE,MIZORAM,-12,77
2011,Q2,4,90,69,NE,NAGALAND,-21,90
2011,Q2,4,192,181,NE,TRIPURA,-11,192
2011,Q2,5,263,263,NORTH,CHANDIGARH,0,263
2011,Q2,5,4845,4823,NORTH,DELHI,-22,4845
2011,Q2,5,5289,5124,NORTH,HARYANA,-165,5289
2011,Q2,5,1096,1096,NORTH,HIMACHAL PRADESH,0,1096
2011,Q2,5,2250,1469,NORTH,JAMMU & KASHMIR,-781,2250
2011,Q2,5,6965,6965,NORTH,PUNJAB,0,6965
2011,Q2,5,6800,6768,NORTH,RAJASTAN,-32,6800
2011,Q2,5,11445,10537,NORTH,UTTAR PRADESH,-908,11445
2011,Q2,5,1533,1366,NORTH,UTTARAKHAND,-167,1533
2011,Q2,5,2700,2623,WEST,CHATTISGARH,-77,2700
2011,Q2,5,10035,9915,WEST,GUJARAT,-120,10035
2011,Q2,5,7097,6004,WEST,MADYA PRADESH,-1093,7097
2011,Q2,5,20072,16058,WEST,MAHARASTRA,-4014,20072
2011,Q2,5,294,269,WEST,DAMAN AND DIU,-25,294
2011,Q2,5,501,501,WEST,DADRA AND NAGAR HAVELI,0,501
2011,Q2,5,514,471,WEST,GOA,-43,514
2011,Q2,5,1658,10474,SOUTH,ANDRA PRADESH,-184,1658
2011,Q2,5,8139,7509,SOUTH, KARNATAKA,-630,8139
2011,Q2,5,3281,3015,SOUTH,KERALA,-266,3281
2011,Q2,5,11832,10298,SOUTH,TAMILNADU,-1534,11832
2011,Q2,5,312,312,SOUTH,PUDUCHERRY,0,312
2011,Q2,5,7,7,SOUTH,LAKSHADWEEP,0,7
2011,Q2,5,2031,1423,EAST,BIHAR,-608,2031
2011,Q2,5,2250,2007,EAST,DVC,-243,2250
2011,Q2,5,1030,832,EAST,JARKHAND,-198,1030
